step,wall_time,correct_move_selection_rate,correct_piece_selection_rate,perfect_move_rate
34304,1745173870.1783519,,,0.0
35328,1745173908.2673826,0.0,,
35328,1745173908.2673998,,0.0,
35328,1745173908.2674158,,,0.0
36352,1745173944.9903846,0.0,,
36352,1745173944.9904006,,1.0,
36352,1745173944.9904165,,,0.0
36864,1745173963.5190637,0.0,,
36864,1745173963.5190797,,1.0,
36864,1745173963.5190952,,,0.0
37376,1745173982.4360669,0.0,,
37376,1745173982.4360833,,1.0,
37376,1745173982.4360993,,,0.0
37888,1745174000.609493,0.0,,
37888,1745174000.60951,,1.0,
37888,1745174000.609526,,,0.0
38400,1745174018.043837,0.0,,
38400,1745174018.043854,,1.0,
38400,1745174018.0438714,,,0.0
38912,1745174036.8525417,0.0,,
38912,1745174036.8525574,,1.0,
38912,1745174036.8525727,,,0.0
39424,1745174054.908788,0.0,,
39424,1745174054.9088137,,1.0,
39424,1745174054.9088328,,,0.0
39936,1745174073.5633068,0.0,,
39936,1745174073.5633235,,0.0,
39936,1745174073.5633402,,,0.0
40960,1745174110.4491074,0.0,,
40960,1745174110.449125,,0.0,
40960,1745174110.4491434,,,0.0
41984,1745174144.6267674,0.0,,
41984,1745174144.6267822,,0.0,
41984,1745174144.6267977,,,0.0
42496,1745174162.183971,0.0,,
42496,1745174162.18399,,0.0,
42496,1745174162.1840105,,,0.0
43008,1745174179.5263946,0.0,,
43008,1745174179.5264108,,1.0,
43008,1745174179.5264263,,,0.0
43520,1745174196.2142067,0.0,,
43520,1745174196.2142224,,1.0,
43520,1745174196.2142377,,,0.0
44032,1745174212.8077059,1.0,,
44032,1745174212.8077211,,1.0,
44032,1745174212.8077378,,,1.0
44544,1745174228.8828602,0.0,,
44544,1745174228.882882,,1.0,
44544,1745174228.882902,,,0.0
45056,1745174245.6667674,0.0,,
45056,1745174245.6667979,,0.0,
45056,1745174245.666819,,,0.0
45568,1745174263.1725407,0.0,,
45568,1745174263.1725566,,1.0,
45568,1745174263.1725721,,,0.0
46080,1745174281.0876071,0.0,,
46080,1745174281.0876222,,0.0,
46080,1745174281.087637,,,0.0
47104,1745174315.923106,0.0,,
47104,1745174315.9231207,,1.0,
47104,1745174315.9231367,,,0.0
47616,1745174333.0809302,0.0,,
47616,1745174333.0809455,,1.0,
47616,1745174333.0809603,,,0.0
48128,1745174350.3846571,0.0,,
48128,1745174350.3846729,,1.0,
48128,1745174350.3846886,,,0.0
48640,1745174366.7006927,0.0,,
48640,1745174366.7007089,,0.0,
48640,1745174366.7007248,,,0.0
49152,1745174382.8861256,0.0,,
49152,1745174382.8861423,,1.0,
49152,1745174382.8861578,,,0.0
49664,1745174398.9522161,0.0,,
49664,1745174398.9522336,,1.0,
49664,1745174398.9522586,,,0.0
50176,1745174414.9300714,0.0,,
50176,1745174414.930087,,1.0,
50176,1745174414.930103,,,0.0
51712,1745174463.6817884,1.0,,
51712,1745174463.6818228,,0.0,
51712,1745174463.6818564,,,0.0
53248,1745174515.9096766,0.0,,
53248,1745174515.9096937,,0.0,
53248,1745174515.9097111,,,0.0
53760,1745174533.177803,0.0,,
53760,1745174533.1778195,,1.0,
53760,1745174533.177836,,,0.0
54272,1745174549.5590498,0.0,,
54272,1745174549.5590656,,0.0,
54272,1745174549.5590813,,,0.0
55296,1745174584.0092385,0.0,,
55296,1745174584.0092547,,1.0,
55296,1745174584.0092714,,,0.0
55808,1745174600.7388802,0.0,,
55808,1745174600.7388961,,1.0,
55808,1745174600.7389126,,,0.0
56320,1745174617.3642414,0.0,,
56320,1745174617.3642569,,1.0,
56320,1745174617.3642728,,,0.0
